Life expectancy
72.333
72.695999
73.044998
73.371002
73.663002
73.914001
74.122002
74.293999
74.438004
74.560997
74.668999
74.772003
74.876999
74.988998
75.112999
75.251999
75.405998
75.568001
75.734001
75.903
76.07
76.230003
76.384003
76.531998
76.674004
76.815002
76.962997
77.121002
77.292
77.474998
77.667
77.859001
78.045998
78.223
78.387001
78.539001
78.681999
78.820999
78.959999
79.099998
