Fertility Rate
1.713
2.293
1.612
1.94
2.104
1.733
1.36
1.726
1.53
1.624
1.996
1.45
2.326
2.363
1.661
3.11
2.73
3.1
1.7
2.274
1.7
2.037
1.45
2.184
1.241
2.491
3.415
2.118
2.666
3.481
2.925
1.32
1.58
2.532
1.46
1.4
1.57
3.36
1.482
2.888
1.466
1.954
