Fertility rate
1.6
1.5
1.7
1.6
1.8
1.7
1.6
2
1.5
1.3
1.4
1.9
1.4
1.4
1.2
1.5
2.2
1.7
1.9
1.7
1.3
1.3
1.3
1.9
1.5
1.8
1.8
