Life Expectancy
82.5
81.7
81.5
81.9
79.9
80.9
81.5
82.4
81.1
81.5
76.2
81.8
83.3
84.1
82.4
82.8
75.4
81.6
81.7
82.5
78
81.2
83.4
82.4
83.7
81.2
78.6
