Average age of marriage (Women)
21.3
21.6
21.8
22.1
22
22.3
22.5
22.8
23
23.3
23.1
23.6
23.6
23.8
23.9
24.1
24.4
24.5
24.5
24.5
24.8
25
25
25.1
25.1
25.1
25.3
25.3
25.3
25.3
25.5
25.6
25.9
25.9
26.1
26.5
26.4
26.6
26.6
27
