Life expectancy
77.8
76.3
74.8
72.7
71.8
72.3
77.4
75
74.5
76.1
74.4
75.9
68.3
69.1
75.5
82.5
70.2
71.1
74.6
72.7
73.6
75
81.7
76.7
72.1
74.3
65.8
69.2
76.6
66.4
68.5
77.5
75
74.5
75.6
76.7
80.8
69.7
74.9
66.3
71.3
76
