Annual Hours worked
1830
1824
1823
1830
1829
1815
1798
1786
1795
1811
1816
1797
1800
1814
1828
1809
1801
1793
1810
1827
1846
1843
1857
1870
1878
1857
1833
1814
1787
1787
1784
1784
1776
1765
1732
1742
1758
1758
1758
1758
