Crude Death rate
8.8
8.8
8.6
8.7
8.5
8.8
8.6
8.5
8.6
8.7
8.7
8.7
8.6
8.9
8.8
8.6
8.6
8.5
8.8
8.8
8.8
8.8
8.7
8.6
8.6
8.5
8.5
8.5
8.4
8.2
8.3
8.1
8
8.1
7.9
7.995
8.073
8.102
8.215
8.237
